244.93,458.91,115.07,51.543,18.359,410,1.8736,2.066
0,356.75,109.44,47.929,17.118,482.35,0,0
255.81,470.18,100.01,45.415,20.805,112.33,1.838,2.0164
260.26,475.21,94.76,43.042,19.507,482.35,1.8259,2.0075
265.94,478.82,88.647,40.61,18.507,512.5,1.8005,1.9759
296.48,480.08,83.601,38.882,20.486,482.35,1.6193,1.7788
208.16,485.54,83.343,39.307,22.32,482.35,2.3325,2.4126
275.79,483.95,29.322,5.3216,18.093,482.35,1.7548,1.925
222.52,477.11,29.159,5.6895,15.421,482.35,2.1441,2.2178
231.8,484.36,82.11,50.199,13.934,512.5,2.0896,2.2903
221.79,485.25,80.591,50.826,13.532,482.35,2.1879,2.3137
217.08,486.1,75.644,51.75,11.561,546.67,2.2393,2.4325
250.32,495.09,78.719,52.884,12.977,512.5,1.9779,2.157
0,326.07,77.931,54.028,17.011,512.5,0,0
229.63,494.85,78.023,55.366,19.835,512.5,2.1549,2.3461
226.21,501.52,80.219,56.634,19.287,482.35,2.217,2.4062
277.24,508.08,80.602,56.646,18.667,546.67,1.8326,1.9906
265.89,509.76,80.588,58.32,18.581,512.5,1.9172,2.0928
228.41,515.05,80.292,58.287,14.794,546.67,2.2549,2.3733
274.84,518.1,21.53,13.404,13.736,546.67,1.8851,2.0496
243.85,487.85,21.333,13.28,13.692,512.5,2.0006,2.2442
222.42,527.95,22.355,15.163,14.128,546.67,2.3737,2.5816
241.55,491.72,78.857,62.961,16.482,512.5,2.0357,2.2476
223.93,490.8,77.026,62.74,18.096,546.67,2.1917,2.4605
257.16,496.5,76.807,62.563,14.593,546.67,1.9307,2.1601
217.75,528.51,73.912,62.272,11.23,546.67,2.4271,2.5668
0,314.12,73.076,65.507,11.039,546.67,0,0
206.99,503.09,75.275,64.642,12.827,585.71,2.4305,2.8075
212.47,511.2,74.51,64.675,15.145,585.71,2.406,2.8662
231.41,512.37,75.288,69.62,16.338,585.71,2.2141,2.5878
225.24,550.57,73.869,71.708,18.753,585.71,2.4444,2.6315
262.55,468.53,74.129,71.649,21.806,585.71,1.7846,2.2861
220.03,494.76,17.357,34.339,22.332,585.71,2.2486,2.8334
243.4,568.23,16.052,34.757,22.577,585.71,2.3346,2.3746
232.27,548.96,74.717,80.212,21.982,630.77,2.3634,2.8648
227.88,466.6,75.37,80.054,20.706,585.71,2.0476,2.6787
205.37,532.05,75.344,81.125,18.068,585.71,2.5907,3.0499
235.77,539,73.073,81.473,13.693,585.71,2.2862,2.5455
0,291.34,72.941,81.582,11.79,630.77,0,0
246.26,500.9,73.353,77.942,12.955,170.83,2.034,2.4535
224.08,416.62,73.03,74.658,15.417,630.77,1.8593,2.4657
212.25,512.78,72.537,76.332,18.042,630.77,2.4159,2.9584
212.79,470.44,72.941,73.524,15.537,585.71,2.2109,3.166
249.82,528.4,72.573,70.247,11.193,630.77,2.1151,2.5851
223.26,445.95,15.252,44.673,-200,630.77,1.9975,3.0173
202.23,420.37,13.711,52.032,10.729,630.77,2.0787,3.3267
225.39,423.61,13.714,59.826,12.799,630.77,1.8795,3.1092
227.42,508.94,13.2,60.177,15.494,630.77,2.2379,2.9063
239.19,519.29,12.609,63.371,19.289,630.77,2.1711,2.9499
217.15,382.59,9.599,57.327,20.669,630.77,1.7618,2.9729
222.11,361.45,9.7094,59.535,19.949,630.77,1.6273,2.8572
227.32,386.34,6.5614,62.931,17.354,264.52,1.6995,2.8091
230.66,510.89,6.6978,63.504,13.555,256.25,2.2149,2.8476
221.55,462.98,7.2109,59.012,-200,630.77,2.0897,2.4365
219.03,390.86,4.8369,50.685,12.74,264.52,1.7845,2.7622
219.95,371.55,4.6612,57.538,16.339,630.77,1.6892,2.6318
220.66,404.33,5.9219,62.01,18.988,282.76,1.8324,2.6754
215.13,468.11,5.7863,65.224,19.892,630.77,2.1759,3.0182
226.66,456.04,4.9391,58.018,20.863,256.25,2.012,3.2845
219.02,328.22,5.2419,55.47,23.511,630.77,1.4986,2.5911
210.67,326.3,5.2104,55.1,24.008,264.52,1.5489,2.6805
226.06,482.63,5.52,55.853,24.651,683.33,2.135,2.5569
224.93,445.81,5.9678,65.948,26.841,683.33,1.982,2.724
225.94,418.58,5.9645,68.298,22.264,683.33,1.8526,2.6734
221.78,414.2,5.512,63.366,17.104,683.33,1.8677,2.7601
215.31,362.99,5.612,66,14.44,215.79,1.6859,2.7158
213.44,300.32,4.7835,73.415,16.026,683.33,1.407,2.8494
215.17,298.83,4.5245,74.254,20.546,273.33,1.3888,2.8252
217.04,370.63,4.1079,73.01,24.616,683.33,1.7077,2.7763
222.26,301.98,3.5117,75.746,25.43,390.48,1.3587,2.539
222.45,491.09,3.7552,74.685,23.329,683.33,2.2076,3.3586
215.95,488.41,3.7006,76.958,22.576,282.76,2.2617,3.474
217.59,337.03,14.394,75.046,22.338,205,1.5489,2.6513
222.3,296.08,14.768,71.944,23.83,215.79,1.3319,2.6675
223.63,396.23,14.719,75.769,25.37,683.33,1.7718,3.2592
215.93,305.78,14.737,71.494,25.415,410,1.4161,2.8676
174.79,401.06,15.165,66.524,23.58,282.76,2.2946,3.5276
204.21,414.81,15.252,61.005,21.954,683.33,2.0312,3.1952
213.05,305.45,15.886,63.019,20.623,282.76,1.4337,2.6982
222.53,390.24,15.427,56.721,17.817,273.33,1.7537,2.629
227.47,458.11,15.023,56.968,15.153,455.56,2.0139,2.4864
207.82,454.69,14.806,48.928,16.434,683.33,2.1879,2.8293
197.44,446.36,10.143,49.024,19.635,410,2.2608,3.2761
